id;Characters;Settings;Plots;Ends of Stories
1;Name1, Name2, Name3;Settting1;Plot1;End1
2;Name1, Name2, Name4;Settting2;Plot2;End2
3;Name1, Name2, Name5;Settting3;Plot3;End3
4;Name1, Name2, Name6;Settting4;Plot4;End4
5;Name1, Name2, Name7;Settting5;Plot5;End5
6;Name1, Name2, Name8;Settting6;Plot6;End6
7;Name1, Name2, Name9;Settting7;Plot7;End7
8;Name1, Name2, Name10;Settting8;Plot8;End8
9;Name1, Name2, Name11;Settting9;Plot9;End9
10;Name1, Name2, Name12;Settting10;Plot10;End10
11;Name1, Name2, Name13;Settting11;Plot11;End11
12;Name1, Name2, Name14;Settting12;Plot12;End12
13;Name1, Name2, Name15;Settting13;Plot13;End13
14;Name1, Name2, Name16;Settting14;Plot14;End14
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
